allocatee,allocation
0xb9b17cbf902c8bab1707ea1a4d458eda5f2a5498,9
0x05789961fa5b62dfb5c5e1d6317c26ca25d921e9,46
0x3e6a203ab73c4b35be1f65461d88fb21de26446e,2
0x7e16bfa814f0c91defc26d8bbb8d36bd65820867,494
0x6b35b52a7e7b4a85b5206ffafb1268266a5651b6,1
0x9235034907ec0831de2e6fa5f3fefbee66c12986,5
0xbadf1ded1ccd5eb9764107ed5cd9daa4832a9fd7,13
0x3ee014c9627acae6caae171b87a617fee0b45ae7,62
0x63bc8811bd229641f7ce478c91c0556a8c7877a6,1
0x16ec4328b00a796ae4ce286542015c4b2b42c141,1
0x48731a48591b8a1869fa0f742334532a88b2ce92,1
0x97e7a3f6069525004e01f4d332367d5907e38110,3
0x999b1ca1fcb18a08e9b769c112f756c6546373a1,2
0x7aef5772dbeefc4ecf67d57c788450ebd240a956,7
0xb873d94d590f2757dd8a4673a9a169dc698ff7e0,10
0x0db30c7699e05d6729d1778d0b434f55fe879c03,2
0x842bad9138a1d7bddeab70337bc2b829c7b29e27,8
0x14abf82c667712cd4381f72a85148f9105fb6391,1
0x02df66825e49922f2e9a0f3347807f14c2abc10b,185
0xec4eae1ffad9f51095b4fa0061ea69de32a85de0,10
0x32c0a4c8cb0d937c5e2f188a752ec2f591627b39,7
0xeb2e362b035b292e6f07411075147c38edd7feda,2
0xa8e67cd6921d956eef652393fd42b0529a9ac0ad,1
0xf68dbb222dcc7170180fa97bffccbc953a8ecedd,1
0xabd77536e27e765285d04ffa3218da790c449cbe,1
0x030b5dbc4d217132c40364b923d9699261464130,3
0x2020109d633c7426929aeab0baffa7e7046b13d2,1
0x00e367af2511cc0bbde594108ed2b412ea1be53a,7
0x0708b2e432223d83933ef37ed3eb41167b41c559,1
0x296e9a5052e51d725bb0e09671495a3353eb6891,1
0xcf0ad472fa19d6d373d19b7b651d02d8504ef1c4,70
0xf89ed54af892607862b1956ea4a350155ecbb4ce,1
0xde83a2c183b2b925e0dce0e3ce025e4d31afc95c,1
0xa7df8aba83ed8e76beb41439e85c34c7357e48f6,1
0x231508d8245af019c824aa81cb1e878d2c128e59,1
0x843593b319b016dc3eb46fe7c0ade9920fa2f305,346
0x2c9217b3bae88ed113ca1bb2498291d30556c87b,1
0x34d861b3979b56cd5c41a8111be471efffa01342,4
0x0fc5f718d667aae81303190a021d1f50b0ecaaed,6
0xdd8d5c0cc55b43f3645726da0e3a740038b15324,18
0x22192cef0dc21d0ec3b6e1fde3bc26ebfbb26ac9,102
0xa0f80b4a4a31f9576870122f5483961972ee1dc3,22
0xabcad113664e5f7e76e9a5118c152a48608da38f,2
0x81ee9bcfeda58e019e34183accfb6bbe84099322,1
0x95eae1f698b544ab187385ca508582a27eef50d4,5
0x711a71e1873988f8da861e57b01a7838b8068b93,10
0xd10ce1caaabd338258392a7cf6c662fd09421146,3
0x87873b1c7af2406debbe759b6fcf441fe8f2fc66,2
0x00610d1b203f9ddf2776d8729b0de854f5dce8ed,12
0xa5ad09b6b5a7aa8e032f983a3b9a0240c836bf16,1
0xd2b34cdb919ad5c2a139309a7d63776e72b77df5,1
0xcbc742f0c92c9713c09dd5a6083b5cd06e98e26e,11
0x276700b044f2b2c48261a98860ccd8e7aad323bb,1
0xf7c9108b5ffc3e8dc0059bce4a13230911cb8451,1
0x994f16b760e5549bda0e8c9adab0809552452e76,1
0xf99bc142d0444a622edde5213f1d5ede2ec81c58,20
0x3ec0f9d932bcd292bc9cb7246d0e6d006a1ddf04,1
0x5aa185fee635371f24b37bef7a8e8ffdec76aa16,5
0x5fbd298e749afd3aa59b62e9294036a1802f8b78,4
0x86dce71540f9db41610e6fd67969ffd54f698c9e,1
0xa2da1b49191d3d26481842081a32b1e9c4577d7c,1
0xc01326b72a589647a5144f04bc6e52870f81fec0,1
0x0ee12dec6b77a6c7c7fa20acdb986249a2f994d4,10
0xc19157739c57c2734b2f501cea00bf0e2b046acf,4
0xbb14199294a45467b760db495c0a767bfc057f8a,7
0x9c944878cdb743212e0f9273d894186eee1b128f,1
0xef0df10849f7b955d0d0e9deecd7cfaa5821cbf9,1
0x0c7948ef5ae31b81d8c56857834b4431e0592644,2
0x4115bdb187c00d336af5517874e4ee83330062e8,2
0x65a250860d63d3e4ef300728a5a45de089891833,2
0xbd4ac7a8de9a5814b852e98ab8103d2bd75bf341,1
0x072d3425b2b05a4895d95234221a5fc669550ea4,10
0x54021e58af1756dc70ce7034d7636de2d2f1fa74,1
0x590ef336b0617900bd61201cc34c3cceecd20381,1
0x8205d352e13db52a124db78329c35773ef3a26e0,1
0x3bdfde86869874b101466035b57835a087eadc0f,1
0x44752be06eb2839353357632cf4232c4c7e47b0c,39
0xb6ac4d80df88befcc6c15bb48f818582e8741f8a,9
0xc8fd990f658199fe0c2f4da13912c36a7fa15210,1
0x9743278dd5ce57e1d4a3cdf894690d17eaf3d5bb,3
0x8ab52ca9c4f2ef61ab2f6e8aed49a74b13404a33,1
0x268cb4c8b97da9d146702d84501a64f597a3aa14,1
0xd6fc89004c5aa526a13407b37a03d700df0b2eaf,2
0x7d0d80faa43b97bdb47a1af709b5b30cb2fb055d,1
0x21139f65a2c2f9d9c31527ca2adcf42e3930a85e,1
0x06b8afb6cf1f18ddcd937ab0037ce8cc7de1f789,1
0x03f664a47ea1ae68154d3cf66bcf47bc524468cf,3
0xe42bebbad623e66baccbcf9bf281f0de4b95ff7c,1
0x3227c7e8e34d1a4c05521b00d27e26ca7168b486,1
0x975ba9cbaf7b8dcea73d00eb7bc576a3931fafd1,1
0x6a5dc6eb4f661e12509b2c5007ed3b2f73e0ab82,1
0x7575ce61573d99ca603a94a0038c2476170283dd,1
0xda7db202b48400fb7bdc3196fe21d2ff93b117d5,1
0xddf24c041fabe7edc4824ea94f484464aac405e4,1
0x84a5952238096137070fc95a527758c27a837f99,1
0x826fede05aeb0b20a65dd14bcb935152d22923a3,1
0x3ce53651a411b28df3fb038a21d87ab305ddda99,1
0xe09727f1d91d43e9661e2ae5c001671cc84c566a,1
0xa568ad89677162adbbbdb3b523e82e2a6ed69d06,16
0xef4d2094aa779f4f6d53259623e4646a049ae298,6
0x2c4ef8b0124696b5668e3130171c8e96e56609c7,1
0xb87a25287ae9e1c0bb2eba470950ecea2f355249,2
0x4f922905d7820e073140b32d665232b2d5bc3e53,13
0x828715934c547c8081905b5670f7e75a8643c43c,25
0x05dc9345418a7406725a3f4d70146f0a0c651f90,26
0xff3f5b23420768e724cf14d7620d9a5910005bce,5
0x7a0bc42dc204fca3526067daa7e81e859c9c6129,10
0xce17d719e923c50e27a9a108cb476c5381374ad4,6
0xdd7c910caae5596b1b54c0dea0da1e9348c106ae,4
0x5551779c9b333f9a7b83d9a06dc800e19b80b5de,1
0xfb11bf8316b59fa3cb815705d87fe5f43119ea94,10
0xf608713d46fe539c665f121ea9226d3385789378,3
0x274a434f95cfe49702df41022f2fdb629267f3c8,2
0x4530c72c1c2e8143fa0ddec579ef4020d5543cf2,2
0xb5c86bbda44ece35d2dc8824050a2b217c45a3a4,12
0xcc337d4fd1b1755ee8d8b270ebbb86a1ae908978,1
0xee51d8a0c6812ba39e43be40f72f3cde0e3fb895,2